run	Ne0.state0.1	Ne0.state0.2	Ne0.state0.3	Ne0.state0.4	Ne0.state0.5	Ne0.state0.6	Ne0.state0.7	Ne0.state0.8	Ne0.state0.9	Ne0.state0.10	Ne0.state0.11	Ne0.state1.1	Ne0.state1.2	Ne0.state1.3	Ne0.state1.4	Ne0.state1.5	Ne0.state1.6	Ne0.state1.7	Ne0.state1.8	Ne0.state1.9	Ne0.state1.10	Ne0.state1.11	f_migration.state0_to_state1	f_migration.state1_to_state0
1	-0.649014	-1.028240	-1.583047	-2.005823	-2.292155	-2.571495	-2.482305	-2.580736	-2.287515	-2.713458	-2.313298	1.181166	0.426464	0.864401	0.743006	0.826413	-0.156297	-0.791332	-0.203747	0.810833	0.673255	0.975084	2.464584	0.111371
2	-1.324760	-2.163444	-2.320649	-2.619128	-2.410342	-3.562610	-3.950133	-4.760485	-4.546668	-4.428637	-4.518171	0.635503	0.532277	1.141710	1.122138	1.161550	0.819495	0.873600	0.777020	0.686104	0.485913	0.381091	1.009563	0.020730
3	-0.199138	-0.680758	0.284596	0.224557	0.630810	0.819607	1.059110	0.454216	1.726045	2.369851	2.442006	-0.569489	0.193945	-0.309358	-0.203633	-0.361896	-0.209533	-0.604312	0.091161	-0.557731	-1.134744	-1.841917	0.045636	0.927983
4	-1.589577	-0.915114	-0.277241	-0.278913	-0.058407	-0.143817	-0.621293	-1.340531	-1.018079	-0.433410	-1.082955	0.060744	-0.082113	0.119835	-0.237497	-0.027070	0.278817	0.487910	1.055896	1.718927	1.769736	2.460143	0.077679	0.423931
5	-0.645362	0.104565	-0.537982	-0.236993	-0.372605	-0.179238	-0.213913	-0.144297	-0.596482	-0.053501	-0.963259	1.763819	1.833585	1.817928	2.424658	2.404764	2.863383	2.730366	2.303256	2.833494	2.667561	2.665255	0.542454	0.198859
6	0.915756	0.767377	0.571247	0.177510	-0.358994	-0.186805	0.046614	-0.372815	-0.460541	-0.903233	-1.446260	-0.618540	-1.045842	-1.089086	-0.063677	-0.103308	0.269805	0.355445	1.142522	0.743858	0.870562	0.650963	0.021445	1.041821
7	-0.143668	-0.301552	-1.486088	-1.778122	-2.179789	-1.665625	-1.301574	-1.418212	-1.121799	-1.424791	-1.349428	0.443658	0.315527	-0.099341	-0.164998	-0.820335	0.036978	0.684676	0.442411	0.420745	0.864766	0.375503	0.922582	0.816337
8	0.980034	0.673564	-0.528612	-0.901995	-0.903889	-0.961134	-1.316541	-1.189190	-1.834379	-1.933413	-2.437897	-1.512442	-1.302174	-1.984727	-2.427104	-2.370319	-2.332098	-2.591826	-2.458466	-3.077914	-2.530017	-1.761602	1.343546	0.129559
9	0.892960	0.458113	0.302507	-0.352627	-0.783090	-0.901836	0.196052	1.048527	0.307721	0.692420	0.373026	-1.368687	-1.739101	-2.041780	-1.966677	-2.004973	-1.876791	-2.141165	-2.394639	-2.072049	-1.715462	-1.980733	0.059232	0.875127
10	-0.579349	-0.800682	-0.668209	0.137371	-0.547198	-0.685408	-0.567741	-0.789249	0.213218	0.149597	-0.413903	-0.181524	-0.060054	-0.423135	0.205836	0.645178	1.064082	0.748107	0.027776	0.138693	0.426161	0.274957	1.206519	1.221982
